    0.000000000    0.137904360   -0.058629750
    0.082340205    0.087660884   -0.083666443
    0.164680410    0.027306760   -0.107443169
    0.247020615   -0.044330972   -0.130320398
    0.329360820   -0.127535896   -0.152696803
    0.411701024   -0.221091147   -0.174971822
    0.494041229   -0.321802933   -0.197523828
    0.576381434   -0.424470317   -0.220699979
    0.658721639   -0.522455861   -0.244813934
    0.741061844   -0.608677863   -0.270145976
    0.823402049   -0.676689913   -0.296939364
    0.905742254   -0.721645053   -0.325392211
    0.988082459   -0.741073274   -0.355650292
    1.070422663   -0.735342085   -0.387802640
    1.152762868   -0.707626037   -0.421872436
    1.235103073   -0.663380755   -0.457796241
    1.317443278   -0.609509789   -0.495397927
    1.399783483   -0.553385806   -0.534372581
    1.482123688   -0.501797242   -0.574287759
    1.564463893   -0.460007836   -0.614595884
    1.646804098   -0.431277334   -0.654650390
    1.729144302   -0.417019691   -0.693728355
    1.811484507   -0.417360362   -0.731067928
    1.893824712   -0.431696319   -0.765923696
    1.976164917   -0.459093207   -0.797634949
    2.058505122   -0.498553509   -0.825696215
    2.140845327   -0.549123137   -0.849814837
    2.223185532   -0.609781773   -0.869939522
    2.305525737   -0.679279817   -0.886253621
    2.387865941   -0.756165370   -0.899141935
    2.470206146   -0.838914292   -0.909143374
    2.552546351   -0.925807207   -0.916891262
    2.634886556   -1.014522906   -0.923038051
    2.717226761   -1.101943077   -0.928174319
    2.799566966   -1.184551544   -0.932766100
    2.881907171   -1.259126898   -0.937127858
    2.964247376   -1.323123484   -0.941429090
    3.046587581   -1.374600963   -0.945725130
    3.128927785   -1.412059739   -0.950007065
    3.211267990   -1.434420938   -0.954258752
    3.293608195   -1.441043038   -0.958490680
    3.375948400   -1.431696782   -0.962724225
    3.458288605   -1.406614629   -0.966939188
    3.540628810   -1.366607638   -0.971031670
    3.622969015   -1.313041834   -0.974813204
    3.705309220   -1.247683388   -0.978033433
    3.787649424   -1.172736026   -0.980389025
    3.869989629   -1.091123641   -0.981512407
    3.952329834   -1.006518178   -0.980969881
    4.034670039   -0.922763623   -0.978294165
    4.117010244   -0.843150154   -0.973045115
    4.199350449   -0.770222133   -0.964875924
    4.281690654   -0.706047320   -0.953588347
    4.364030859   -0.652340377   -0.939166319
    4.446371063   -0.610369235   -0.921777834
    4.528711268   -0.581145048   -0.901748576
    4.611051473   -0.565828750   -0.879533998
    4.693391678   -0.565477836   -0.855715026
    4.775731883   -0.579870371   -0.831005830
    4.858072088   -0.606616914   -0.806233995
    4.940412293   -0.641790388   -0.782276318
    5.022752498   -0.681476818   -0.759982485
    5.105092703   -0.722489803   -0.740130198
    5.187432907   -0.761725523   -0.723414706
