    0.000000000    0.397593582    0.380781961
    0.080977334    0.396132527    0.376413901
    0.161954669    0.394438430    0.371289142
    0.242932003    0.392458981    0.365274400
    0.323909338    0.390137397    0.358213530
    0.404886672    0.387426157    0.349924672
    0.485864007    0.384269153    0.340198862
    0.566841341    0.380581198    0.328804801
    0.647818676    0.376258357    0.315503023
    0.728796010    0.371196502    0.300067069
    0.809773344    0.365279469    0.282306168
    0.890750679    0.358352006    0.262086376
    0.971728013    0.350219646    0.239349874
    1.052705348    0.340668157    0.214130428
    1.133682682    0.329458408    0.186560158
    1.214660017    0.316296168    0.156864494
    1.295637351    0.300821021    0.125346738
    1.376614686    0.282621035    0.092365000
    1.457592020    0.261228782    0.058302225
    1.538569354    0.236086349    0.023530393
    1.619546689    0.206523329   -0.011626032
    1.700524023    0.171763527   -0.046920668
    1.781501358    0.130922356   -0.082206325
    1.862478692    0.083011496   -0.117446217
    1.943456027    0.027066262   -0.152713583
    2.024433361   -0.037548482   -0.188177344
    2.105410696   -0.110798016   -0.224076277
    2.186388030   -0.191810067   -0.260689346
    2.267365364   -0.278902578   -0.298306974
    2.348342699   -0.369664462   -0.337200332
    2.429320033   -0.461038370   -0.377585147
    2.510297368   -0.549525299   -0.419585694
    2.591274702   -0.631576855   -0.463211354
    2.672252037   -0.704037725   -0.508352637
    2.753229371   -0.764477608   -0.554791833
    2.834206706   -0.811432803   -0.602218408
    2.915184040   -0.844642274   -0.650243085
    2.996161375   -0.865203516   -0.698409773
    3.077138709   -0.875488163   -0.746206289
    3.158116043   -0.878828215   -0.793075278
    3.239093378   -0.879142677   -0.838426965
    3.320070712   -0.880565982   -0.881653824
    3.401048047   -0.886989086   -0.922145619
    3.482025381   -0.901551389   -0.959305811
    3.563002716   -0.926332211   -0.992575099
    3.643980050   -0.962353873   -1.021466444
    3.724957385   -1.009639383   -1.045606367
    3.805934719   -1.067050899   -1.064769790
    3.886912053   -1.132084177   -1.078898953
    3.967889388   -1.201067368   -1.088105897
    4.048866722   -1.269853607   -1.092662445
    4.129844057   -1.334564168   -1.092980775
    4.210821391   -1.391940765   -1.089587520
    4.291798726   -1.439330547   -1.083094436
    4.372776060   -1.474596389   -1.074164783
    4.453753395   -1.496090008   -1.063471083
    4.534730729   -1.502649471   -1.051646856
    4.615708063   -1.493630940   -1.039247322
    4.696685398   -1.469004618   -1.026732473
    4.777662732   -1.429395346   -1.014465531
    4.858640067   -1.375936187   -1.002704723
    4.939617401   -1.310079854   -0.991579628
    5.020594736   -1.233655342   -0.981070798
    5.101572070   -1.149129628   -0.971017036
    5.182549405   -1.059657474   -0.961150458
