# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    0.011009009 1683.106106553 1683.194570083   10.803816172
    0.021018018  465.232907489  465.257135463    4.687756133
    0.031027027  216.072000786  216.083086979    3.436541137
    0.041036036  125.569092639  125.575405300    2.982120709
    0.051045045   82.843758810   82.847817908    2.767659144
    0.061054054   59.347229363   59.350049090    2.649786023
    0.071063063   45.059807672   45.061873742    2.578182969
    0.081072072   35.730070828   35.731644717    2.531499582
    0.091081081   29.304307917   29.305542779    2.499422259
    0.101090090   24.691816522   24.692807983    2.476473577
    0.111099099   21.269774565   21.270585402    2.459525792
    0.121108108   18.661533731   18.662206854    2.446687430
    0.131117117   16.628459085   16.629024818    2.436760121
    0.141126126   15.013408871   15.013889248    2.428954750
    0.151135135   13.709484939   13.709896358    2.422734529
    0.161144144   12.641919779   12.642274692    2.417724028
    0.171153153   11.757148016   11.757456051    2.413654302
    0.181162162   11.015980936   11.016249654    2.410328604
    0.191171171   10.389213504   10.389448924    2.407600330
    0.201180180    9.854721300    9.854928276    2.405358439
    0.211189189    9.395496663    9.395679148    2.403517588
    0.221198198    8.998292164    8.998453416    2.402011323
    0.231207207    8.652665887    8.652808612    2.400787281
    0.241216216    8.350298033    8.350424495    2.399803763
    0.251225225    8.084494171    8.084606285    2.399027233
    0.261234234    7.849819091    7.849918482    2.398430487
    0.271243243    7.641823425    7.641911483    2.397991270
    0.281252252    7.456837131    7.456915053    2.397691250
    0.291261261    7.291811783    7.291880606    2.397515218
    0.301270270    7.144198924    7.144259547    2.397450480
    0.311279279    7.011855347    7.011908558    2.397486383
    0.321288288    6.892968723    6.893015213    2.397613938
    0.331297297    6.785998721    6.786039099    2.397825527
    0.341306306    6.689630049    6.689664855    2.398114667
    0.351315315    6.602734737    6.602764450    2.398475818
    0.361324324    6.524341647    6.524366694    2.398904234
    0.371333333    6.453611673    6.453632437    2.399395836
    0.381342342    6.389817458    6.389834282    2.399947110
    0.391351351    6.332326714    6.332339907    2.400555025
    0.401360360    6.280588439    6.280598280    2.401216961
    0.411369369    6.234121478    6.234128221    2.401930657
    0.421378378    6.192504993    6.192508866    2.402694156
    0.431387387    6.155370485    6.155371698    2.403505769
    0.441396396    6.122395108    6.122393853    2.404364043
    0.451405405    6.093296041    6.093292492    2.405267730
    0.461414414    6.067825748    6.067820066    2.406215764
    0.471423423    6.045767973    6.045760305    2.407207240
