# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     5.179667760    5.187363584    4.809616072
    0.031027027-5650.885494863-5734.181496894   21.279322032
    0.041036036-3215.920698394-3265.874492636   21.571029587
    0.051045045-2065.018048344-2098.959899517   21.863942354
    0.061054054-1431.158162437-1456.035192909   22.181440500
    0.071063063-1045.428659051-1064.554083495   22.521816976
    0.081072072 -793.941580920 -809.100181230   22.870825263
    0.091081081 -621.721152205 -633.993810326   23.204948229
    0.101090090 -499.260384404 -509.392199851   23.493055591
    0.111099099 -409.298319999 -417.834111745   23.697362894
    0.121108108 -341.417336973 -348.728175133   23.783213651
    0.131117117 -289.479610294 -295.797702194   23.751070155
    0.141126126 -249.722669547 -255.212682033   23.660025311
    0.151135135 -219.167810353 -223.990989369   23.574696560
    0.161144144 -194.848486967 -199.172155931   23.453985516
    0.171153153 -174.161739552 -178.119195104   23.088504500
    0.181162162 -155.529579524 -159.194608347   22.127782835
    0.191171171 -138.382816780 -141.785968564   20.196107571
    0.201180180 -122.639650064 -125.795282791   17.134601375
    0.211189189 -108.276360580 -111.198172528   13.282186179
    0.221198198  -95.179305118  -97.885127421    9.427269161
    0.231207207  -83.182470157  -85.693577656    6.287350205
    0.241216216  -72.136701396  -74.475148268    4.092649293
    0.251225225  -61.929014960  -64.115365181    2.707297150
    0.261234234  -52.471738630  -54.523999165    1.949026462
    0.271243243  -43.697048964  -45.630425124    1.696517512
    0.281252252  -35.563863976  -37.390886188    1.813281405
    0.291261261  -28.069095252  -29.800205973    2.098724144
    0.301270270  -21.249689260  -22.895082398    2.316047207
    0.311279279  -15.158027532  -16.731567124    2.246749453
    0.321288288   -9.813293569  -11.336645961    1.759643159
    0.331297297   -5.190062414   -6.691005035    0.883718556
    0.341306306   -1.307360108   -2.809936914   -0.178624860
    0.351315315    1.651351012    0.138657276   -1.160413177
    0.361324324    3.322499319    1.820804174   -1.900868632
    0.371333333    3.255483410    1.838159813   -2.406199822
    0.381342342    1.006557697   -0.185917157   -2.758134692
    0.391351351   -3.810350493   -4.593535940   -3.000749323
    0.401360360  -11.521653927  -11.726434951   -3.106662019
    0.411369369  -22.299336064  -21.863386378   -3.027239452
    0.421378378  -35.526034046  -34.607891953   -2.755881618
    0.431387387  -49.090980808  -48.069047459   -2.336400003
    0.441396396  -60.155577832  -59.407001593   -1.833940851
    0.451405405  -66.998863704  -66.684176428   -1.314300081
    0.461414414  -69.707568331  -69.781860992   -0.842503559
    0.471423423  -69.387113037  -69.727754401   -0.490408906
    0.481432432  -67.238858380  -67.733040040   -0.340429581
    0.491441441  -64.160148403  -64.730321317   -0.467899156
    0.501450450  -60.712324758  -61.312361771   -0.887166238
    0.511459459  -57.208605462  -57.813780564   -1.491584142
    0.521468468  -53.811480056  -54.410466985   -2.079026406
    0.531477477  -50.609064691  -51.198942816   -2.480327204
    0.541486486  -47.659041690  -48.241441015   -2.650217044
    0.551495495  -44.999301361  -45.575623834   -2.637874133
    0.561504505  -42.633809265  -43.199864001   -2.511845659
    0.571513514  -40.513708001  -41.058290276   -2.317079730
    0.581522523  -38.548010371  -39.059057110   -2.074529754
    0.591531532  -36.652635975  -37.125101151   -1.797854951
    0.601540541  -34.790980295  -35.227866015   -1.503005107
    0.611549550  -32.970686186  -33.378489908   -1.208044322
    0.621558559  -31.218375406  -31.602958451   -0.931434333
    0.631567568  -29.560452975  -29.925414314   -0.692207548
    0.641576577  -28.013139456  -28.359740989   -0.509432101
    0.651585586  -26.578671667  -26.906133425   -0.396453369
    0.661594595  -25.253665714  -25.558980283   -0.349621378
    0.671603604  -24.051089669  -24.327946140   -0.343017122
    0.681612613  -23.019082002  -23.256465838   -0.342561894
    0.691621622  -22.239704295  -22.422335778   -0.329252980
    0.701630631  -21.798230446  -21.913114453   -0.307210449
    0.711639640  -21.715910235  -21.767242513   -0.290243759
    0.721648649  -21.878399503  -21.898757707   -0.281212181
    0.731657658  -22.052807920  -22.089047488   -0.264399283
    0.741666667  -22.022443732  -22.105235161   -0.218817417
    0.751675676  -21.703592841  -21.835782420   -0.135552178
    0.761684685  -21.135440015  -21.303681198   -0.020237948
    0.771693694  -20.403780947  -20.592404195    0.115284598
    0.781702703  -19.586652079  -19.783759485    0.260073857
    0.791711712  -18.737591573  -18.935651540    0.406588377
    0.801720721  -17.887458263  -18.082077217    0.550741891
    0.811729730  -17.050655545  -17.239280569    0.691273869
    0.821738739  -16.231837177  -16.412901146    0.828666630
    0.831747748  -15.432149043  -15.604649231    0.963798505
    0.841756757  -14.652990192  -14.816358366    1.097176168
    0.851765766  -13.896816058  -14.051060548    1.228989455
    0.861774775  -13.166965653  -13.313050288    1.359412091
    0.871783784  -12.469039628  -12.609160757    1.488753257
    0.881792793  -11.815661392  -11.953178850    1.617459317
    0.891801802  -11.233944509  -11.373534445    1.746057924
    0.901810811  -10.772494792  -10.921098496    1.875093283
    0.911819820  -10.503030848  -10.670855915    2.005068468
    0.921828829  -10.506211028  -10.705521465    2.136409682
    0.931837838  -10.827150623  -11.065759397    2.269469810
    0.941846847  -11.408172496  -11.678798082    2.404521887
    0.951855856  -12.064214063  -12.342050100    2.541524226
    0.961864865  -12.570122433  -12.827991166    2.679395883
    0.971873874  -12.794793483  -13.019675917    2.814798770
    0.981882883  -12.743134735  -12.936638407    2.940484370
    0.991891892  -12.499849263  -12.669525995    3.042930395
    1.001900901  -12.166560817  -12.319549927    3.099155131
    1.011909910  -11.835347927  -11.976405377    3.074253436
    1.021918919  -11.584181897  -11.716053851    2.925136990
    1.031927928  -11.468145012  -11.592733644    2.620141845
    1.041936937  -11.493411557  -11.612784987    2.175919065
    1.051945946  -11.595264232  -11.711667628    1.679753370
    1.061954955  -11.666616620  -11.781644805    1.251474904
    1.071963964  -11.628289448  -11.742499411    0.969558227
    1.081972973  -11.465527167  -11.578840257    0.841639292
    1.091981982  -11.207120581  -11.319299334    0.832244818
    1.101990991  -10.891397051  -11.002248547    0.898641685
    1.112000000  -10.548755008  -10.658159117    1.007751600
    1.122009009  -10.198722813  -10.306606092    1.138366915
    1.132018018   -9.852497091   -9.958797357    1.278202503
    1.142027027   -9.516093242   -9.620720952    1.420579975
    1.152036036   -9.192747864   -9.295538861    1.562022958
    1.162045045   -8.884551033   -8.985205983    1.700784794
    1.172054054   -8.593533294   -8.691553511    1.836139362
    1.182063063   -8.322284271   -8.416955478    1.968314768
    1.192072072   -8.073889626   -8.164442600    2.098719005
    1.202081081   -7.850754887   -7.936855642    2.229656304
    1.212090090   -7.652480874   -7.734857263    2.363199195
    1.222099099   -7.474968617   -7.555345593    2.500175603
    1.232108108   -7.312658398   -7.392727136    2.640028966
    1.242117117   -7.160377982   -7.241054037    2.781021776
    1.252126126   -7.011740943   -7.093313379    2.920037546
    1.262135135   -6.859252657   -6.941580168    3.051840277
    1.272144144   -6.698667455   -6.781211505    3.168502129
    1.282153153   -6.531260551   -6.613339383    3.260420202
    1.292162162   -6.361244768   -6.442387654    3.318995919
    1.302171171   -6.192666768   -6.272690555    3.336252664
    1.312180180   -6.029075182   -6.107800700    3.295256196
    1.322189189   -5.874834730   -5.951806336    3.157541483
    1.332198198   -5.735199023   -5.809753079    2.866900458
    1.342207207   -5.613716954   -5.685390174    2.384156690
